column_name,type,nullable
agri_land_acres,INTEGER,true
avg_monthly_kwh,INTEGER,true
district_id,TEXT,true
district_name,TEXT,true
effective_from,TEXT,true
effective_to,TEXT,true
electricity_consumers,INTEGER,true
gas_connections,INTEGER,true
households,INTEGER,true
is_current,INTEGER,true
land_acres,INTEGER,true
literacy_rate,REAL,true
population,INTEGER,true
properties,INTEGER,true
property_tax_coverage,INTEGER,true
ration_aay,INTEGER,true
ration_cards_total,INTEGER,true
ration_nphh,INTEGER,true
ration_others,INTEGER,true
ration_phh,INTEGER,true
sex_ratio,INTEGER,true
state_id,TEXT,true
urbanization_pct,REAL,true
vehicles,INTEGER,true
