column_name,type,nullable
aarogyasri_card_no,TEXT,true
aarogyasri_status,TEXT,true
abdm_id,TEXT,true
abha_address,TEXT,true
anc_registrations,INTEGER,true
assigned_asha_worker,TEXT,true
blood_group,TEXT,true
bmi,REAL,true
cghs_covered,INTEGER,true
conditions,TEXT,true
covid_doses,INTEGER,true
covid_vaccinated,INTEGER,true
department_id,TEXT,true
edd_date,TEXT,true
esi_covered,INTEGER,true
has_cancer,INTEGER,true
has_diabetes,INTEGER,true
has_hiv,INTEGER,true
has_hypertension,INTEGER,true
has_mental_health_condition,INTEGER,true
has_tuberculosis,INTEGER,true
height_cm,INTEGER,true
institutional_delivery,INTEGER,true
is_pregnant,INTEGER,true
last_encounter_date,TEXT,true
linked_scheme_ids,TEXT,true
lmp_date,TEXT,true
mental_health_type,TEXT,true
person_id,TEXT,true
pmjay_beneficiary_id,TEXT,true
pmjay_family_id,TEXT,true
registered_phc,TEXT,true
rsby_covered,INTEGER,true
updated_at,TEXT,true
weight_kg,REAL,true
