column_name,type,nullable
agri_land_acres,INTEGER,true
avg_monthly_kwh,INTEGER,true
districts_count,INTEGER,true
effective_from,TEXT,true
effective_to,TEXT,true
electricity_consumers,INTEGER,true
gross_state_income_cr,INTEGER,true
households,INTEGER,true
is_current,INTEGER,true
literacy_rate,REAL,true
mandals_count,INTEGER,true
median_age,REAL,true
population,INTEGER,true
property_tax_collected,INTEGER,true
ration_aay,INTEGER,true
ration_cards_total,INTEGER,true
ration_nphh,INTEGER,true
ration_others,INTEGER,true
ration_phh,INTEGER,true
sex_ratio,INTEGER,true
state_id,TEXT,true
state_name,TEXT,true
urbanization_pct,REAL,true
villages_count,INTEGER,true
