column_name,type,nullable
aadhaar_seeded,INTEGER,true
academic_year,TEXT,true
apaar_id,TEXT,true
aposs_id,TEXT,true
class_currently_enrolled,INTEGER,true
digital_literacy_level,TEXT,true
dropout_reason,TEXT,true
education_board,TEXT,true
education_level,TEXT,true
epass_amount,REAL,true
epass_id,TEXT,true
has_apaar_id,INTEGER,true
highest_qualification,TEXT,true
institution_code,TEXT,true
institution_id,TEXT,true
is_current_level,INTEGER,true
is_dropout,INTEGER,true
medium_of_instruction,TEXT,true
ntr_vidya_deevena,INTEGER,true
person_id,TEXT,true
post_matric_scholarship,INTEGER,true
pre_matric_scholarship,INTEGER,true
school_name,TEXT,true
student_id,TEXT,true
student_pen,TEXT,true
student_record_id,TEXT,true
thalliki_vandanam,INTEGER,true
updated_at,TEXT,true
