column_name,type,nullable
chassis_no,TEXT,true
color,TEXT,true
data_source,TEXT,true
engine_no,TEXT,true
fuel_type,TEXT,true
laden_weight_kg,TEXT,true
make,TEXT,true
model,TEXT,true
owner_mobile_number,TEXT,true
owner_name,TEXT,true
person_id,TEXT,true
reg_no,TEXT,true
registration_date,TEXT,true
rto_office,TEXT,true
seating_capacity,INTEGER,true
unladen_weight_kg,INTEGER,true
updated_at,TEXT,true
vehicle_class,TEXT,true
vehicle_id,TEXT,true
vehicle_type,TEXT,true
year_of_manufacture,INTEGER,true
