table_name,prev_hash,cur_hash,status
dim_agriculture_profile,,7dfbc28d08399b3ce8014206c07fbb28c44b69e2350d69ef35f15124c4457669,NEW
dim_citizen_identifier,,c617f51f6fc89f2b40d619bc921075c14d892e59d4331fab23f8252c548a02cf,NEW
dim_consent,,9fc75071ade47c2bd6e9d88d8f4142b02aa207950a32a3409e5312298e8ea07e,NEW
dim_crop_sale,,e3610fdf6fac70811f75c0b652e3cee313cc332217482ea1ccb78c0d463132b8,NEW
dim_department,,437699cdc47aed98e234aca2b4b0f6c7812549d8a50c643e80798861fc07fb7c,NEW
dim_department_client,,c5b78877eb9b2b33a163496b4ccb5ebf7928745aab94ab994ee7b0090141b6ba,NEW
dim_district,,2b04bd0b9c6955d9ca19a7aa93c05a8924231a19780ea4bbd6bad0c5e6ff417d,NEW
dim_epfo_contribution,,883ef659df57b8ae754731bd478cd7439b716a43b0f6f0b77af556605b6a136b,NEW
dim_family_member,,01f5430691640fb91b05f6cf997c44f527c04664a36cd9f9e92dca7561de1588,NEW
dim_health_profile,,a333714592b29bbf3b369aad34f655b6ca0e78fb63e4d78396940da18e018535,NEW
dim_household,,3abf157f37c168d23178f86adf66e36696ce2af0af88e10dc6d5748ae54de24d,NEW
dim_land,,6c60731f7d56375f0ab1e89c84ec8c254eab2361d0c726cf6781aaaccd42d5e4,NEW
dim_mandal,,e6ae629c674cd924d1cd11aa68cd16cbf627a7c4478ab243650bcdb45ec46976,NEW
dim_occupation,,c85b2a8bbd2abfd3b95968b75fbc4fc1345fe4e5b714194a2d8fa7402efacc02,NEW
dim_person,,3ec164378a7145de0f760a5178f345a0d13ce7a7768275f591747d0f2ca6deef,NEW
dim_property,,37cf366cc2757444c0259bccfb4eadb089f27c142960b409c6951cb84ab06b02,NEW
dim_property_tax,,5280268332e900a765d774840b0838a8960a67f18d42f36cc7bdf2fcf3a00ea8,NEW
dim_scheme,,ef9210e1b78df0f454ca0d306b22d2fd8c5d93a46cc1c76621aa43a5a6278c33,NEW
dim_social_welfare,,de3d0a23a039bdc351b484c538e25354642f5c327875a1a84075ae0d229314aa,NEW
dim_state,,5d26ada3ae196072649f8eea529218cfde2619c231983fc123185c6c4d68a9e2,NEW
dim_student,,2c2ac4208e6549089e419cd1156163f9722bbadd99efc1a17565c77c128f33b3,NEW
dim_tax_profile,,51d7ede96f0bb8df1a4472261b6791a0b21f4e4260f4ee688533597cbd60edd8,NEW
dim_utility_connection,,fe7f02ce961be8d67a3b278ca93cdf616dd0a0e2f80299e2ac70d0113e7f4742,NEW
dim_vehicle,,3c0d6635dbcebc1c61494a8d81732bc0cbcc56ebc622967801a993d93deba606,NEW
dim_vehicle_compliance,,ba585f1e64992ffbbe1892093cebe880f0caf8a3e3d31b2dabf8b2a3ec4c6810,NEW
dim_village,,dbc3cc5d29093302632953f13dd2304f01610a7ab0b6646f2fd9230db01bf406,NEW
fact_benefit_transaction,,26e6873365367e5439eb3cb8f95f5435dab99f1d422776f15b376cd1e7bd9d31,NEW
fact_entitlement,,d7d4c7d635a131826b1c1dbc6f3a9669a040fca549bd3d40b3c9627c30f99801,NEW
fact_population_hierarchy,,c42064443060edabdde7d87bdfdb2a96f9a5a4a9b162589b21ff6b11e2e63e0c,NEW
fact_scheme_disbursement,,21defee8fc315e1b327b4c6cd31f60a659275e892b440437bc15950ab0a33cb4,NEW
