column_name,type,nullable
aadhaar_mapped,TEXT,true
crop_season,TEXT,true
department_id,TEXT,true
dry_land_acres,REAL,true
farmer_id,TEXT,true
farmer_type,TEXT,true
fpo_name,TEXT,true
irrigated_land_acres,REAL,true
irrigation_source,TEXT,true
kcc_account_no,TEXT,true
kcc_bank,TEXT,true
kcc_limit,REAL,true
last_yield_qtl_acre,REAL,true
market_linkage,TEXT,true
person_id,TEXT,true
pm_kisan_beneficiary,INTEGER,true
pmfby_enrolled,INTEGER,true
primary_crop,TEXT,true
pump_set_hp,REAL,true
rythu_bharosa_beneficiary,INTEGER,true
secondary_crop,TEXT,true
soil_health_card_no,TEXT,true
total_land_acres,REAL,true
updated_at,TEXT,true
