column_name,type,nullable
aadhaar_mapped,TEXT,true
acres,REAL,true
district_id,TEXT,true
encumbrance_status,TEXT,true
extent_dry_land,REAL,true
extent_wet_land,REAL,true
guideline_value,REAL,true
hissa_no,TEXT,true
irrigation_type,TEXT,true
is_assigned_land,INTEGER,true
khata_no,TEXT,true
land_classification,TEXT,true
land_id,TEXT,true
land_type,TEXT,true
location,TEXT,true
mandal_id,TEXT,true
market_value,REAL,true
mortgage_amount,REAL,true
mortgage_bank,TEXT,true
mutation_date,TEXT,true
pattadar_passbook_no,TEXT,true
person_id,TEXT,true
registration_date,TEXT,true
registration_no,TEXT,true
revenue_circle,TEXT,true
soil_type,TEXT,true
sro_office,TEXT,true
stamp_duty_paid,REAL,true
sub_survey_no,TEXT,true
survey_no,TEXT,true
updated_at,TEXT,true
village_name,TEXT,true
