column_name,type,nullable
aadhaar_mapped,TEXT,true
area_sq_ft,INTEGER,true
assessment_no,TEXT,true
block_no,TEXT,true
built_up_area_sq_ft,INTEGER,true
construction_type,TEXT,true
construction_year,INTEGER,true
district_id,TEXT,true
door_no,TEXT,true
floor_count,INTEGER,true
guideline_value,REAL,true
locality,TEXT,true
location,TEXT,true
market_value,REAL,true
municipal_body,TEXT,true
municipal_no,TEXT,true
owner_name,TEXT,true
person_id,TEXT,true
pincode,TEXT,true
plinth_area_units,TEXT,true
plot_no,TEXT,true
property_id,TEXT,true
property_sub_type,TEXT,true
property_type,TEXT,true
ptin,TEXT,true
registration_date,TEXT,true
registration_no,TEXT,true
roof_type,TEXT,true
site_area_sq_ft,INTEGER,true
site_extent_units,TEXT,true
sro_office,TEXT,true
street_name,TEXT,true
updated_at,TEXT,true
usage_type,TEXT,true
ward_no,TEXT,true
