column_name,type,nullable
annual_family_income,REAL,true
bc_welfare_scheme,TEXT,true
bpl_card_no,TEXT,true
deepam_beneficiary,INTEGER,true
department_id,TEXT,true
disability_certificate_date,TEXT,true
disability_percentage,INTEGER,true
disability_type,TEXT,true
is_disabled,INTEGER,true
monthly_amount,REAL,true
ntr_bharosa_flag,INTEGER,true
pension_account_no,TEXT,true
pension_bank,TEXT,true
pension_id,TEXT,true
pension_status,TEXT,true
pension_type,TEXT,true
person_id,TEXT,true
secc_family_id,TEXT,true
shg_name,TEXT,true
shg_role,TEXT,true
udid_card_no,TEXT,true
